SKU,Product Name,French Description,Category,"French Category Name
",num_of_inv,Line,Color,Size,Volume,Product UPC,MSRP,MAP,NET Price,List Price,Brand Code,Brand Discount Y/N,Brand Discount,Attention: Net Price Change,Attention: New Catalog SKU
001500-001,WOODLUXE STAIN REM,{N/A},WOODLUXE EXTERIOR STAINS,TEINTURES D EXTERIEUR WOODLUXE,30,00015,00,001,quart,023906916923,$41.99,,$29.16,$29.75,BMC,Y,-1.25%,N,N
001600-001,WOODLUXE RESTORE -,{N/A},WOODLUXE EXTERIOR STAINS,TEINTURES D EXTERIEUR WOODLUXE,30,00016,00,001,quart,023906916930,$34.99,,$24.03,$24.52,BMC,Y,-1.25%,N,N
001700-001,WOODLUXE BR-NEU,{N/A},WOODLUXE EXTERIOR STAINS,TEINTURES D EXTERIEUR WOODLUXE,42,00017,00,001,quart,023906916947,$33.99,,$22.11,$22.56,BMC,Y,-1.25%,N,N
001800-001,WOODLUXE CLEAN,{N/A},WOODLUXE EXTERIOR STAINS,TEINTURES D EXTERIEUR WOODLUXE,5,00018,00,001,quart,023906916954,$34.99,,$21.69,$22.13,BMC,Y,-1.25%,N,N
003200-001,FS INT ALK PRIMER -WHITE,{N/A},FRESH START PRIMERS,APPRETS AVANT PREMIERE,24,00032,00,001,quart,023906767907,,,$34.12,$39.52,BMP,Y,-13%,N,N
003200-004,FS INT ALK PRIMER -WHITE,{N/A},FRESH START PRIMERS,APPRETS AVANT PREMIERE,40,00032,00,004,gallon,023906767914,,,$13.31,$15.41,BMP,Y,-13%,N,N
003200-005,FS INT ALK PRIMER -WHITE,{N/A},FRESH START PRIMERS,APPRETS AVANT PREMIERE,35,00032,00,005,,023906767921,,,$164.41,$190.40,BMP,Y,-13%,N,N
003204-001,FS INT ALK PRIMER -DEEP CL BS,{N/A},FRESH START PRIMERS,APPRETS AVANT PREMIERE,45,00032,04,001,quart,023906767938,,,$31.54,$36.53,BMP,Y,-13%,N,N
003204-004,FS INT ALK PRIMER -DEEP CL BS,{N/A},FRESH START PRIMERS,APPRETS AVANT PREMIERE,41,00032,04,004,gallon,023906767945,,,$12.30,$14.24,BMP,Y,-13%,N,N
004600-001,FS HI HIDING PRIMER -WHITE,{N/A},FRESH START PRIMERS,APPRETS AVANT PREMIERE,5,00046,00,001,quart,023906015992,,,$27.50,$31.85,BMP,Y,-13%,N,N
004600-004,FS HI HIDING PRIMER -WHITE,{N/A},FRESH START PRIMERS,APPRETS AVANT PREMIERE,33,00046,00,004,gallon,023906016005,,,$10.73,$12.42,BMP,Y,-13%,N,N
004600-005,FS HI HIDING PRIMER -WHITE,{N/A},FRESH START PRIMERS,APPRETS AVANT PREMIERE,12,00046,00,005,,023906043537,,,$132.21,$153.12,BMP,Y,-13%,N,N
004604-001,FS HI HIDING PRIMER -DEEP BASE,{N/A},FRESH START PRIMERS,APPRETS AVANT PREMIERE,29,00046,04,001,quart,023906016036,,,$25.29,$29.29,BMP,Y,-13%,N,N
004604-004,FS HI HIDING PRIMER -DEEP BASE,{N/A},FRESH START PRIMERS,APPRETS AVANT PREMIERE,26,00046,04,004,gallon,023906016043,,,$9.87,$11.43,BMP,Y,-13%,N,N
004604-005,FS HI HIDING PRIMER -DEEP BASE,{N/A},FRESH START PRIMERS,APPRETS AVANT PREMIERE,15,00046,04,005,,023906754013,,,$121.17,$140.33,BMP,Y,-13%,N,N
006700-001,BM INT/EXT MP PRIMER -WHITE,{N/A},BM PRO PRIMER,APPRET BM PRO,16,00067,00,001,quart,023906767327,,,$19.41,$22.48,BMP,Y,-13%,N,N
006700-005,BM INT/EXT MP PRIMER -WHITE,{N/A},BM PRO PRIMER,APPRET BM PRO,16,00067,00,005,,023906767341,,,$85.88,$99.46,BMP,Y,-13%,N,N
